Frame 0, Rot 0, Dist 0; 
Frame 202, Rot 0.123602, Dist 0.00160651; 
Frame 203, Rot 0.107929, Dist 0.00159926; 
Frame 204, Rot 1.41381, Dist 5.67214e-05; 
Frame 205, Rot 0.095769, Dist 4.86088e-05; 
Frame 206, Rot 0.140058, Dist 0.000700137; 
Frame 207, Rot 0.0797662, Dist 0.000672685; 
Frame 208, Rot 0.0933308, Dist 6.1208e-06; 
Frame 209, Rot 1.41326, Dist 7.28052e-05; 
Frame 210, Rot 0.164925, Dist 0.00125671; 
Frame 211, Rot 0.326468, Dist 0.0799609; 
Frame 212, Rot 0.32075, Dist 0.47836; 
Frame 213, Rot 0.00158209, Dist 0.00346733; 
Frame 214, Rot 0.00101556, Dist 0.00517919; 
Frame 215, Rot 0.00286393, Dist 0.00256631; 
Frame 216, Rot 0.00262958, Dist 0.00266057; 
Frame 217, Rot 0.000993506, Dist 0.00372872; 
Frame 218, Rot 0.00180639, Dist 0.00440613; 
Frame 219, Rot 0.00351279, Dist 0.0019346; 
Frame 220, Rot 0.00264525, Dist 0.00491274; 
Frame 221, Rot 0.00298178, Dist 0.00437721; 
Frame 222, Rot 0.00305424, Dist 0.00613944; 
Frame 223, Rot 0.00224446, Dist 0.000973511; 
Frame 224, Rot 0.00201036, Dist 0.00360583; 
Frame 225, Rot 0.60266, Dist 0.373761; 
Frame 226, Rot 0.177492, Dist 0.0734323; 
Frame 227, Rot 0.759188, Dist 0.45837; 
Frame 228, Rot 0.00289832, Dist 0.00296484; 
Frame 229, Rot 0.000953698, Dist 0.00152297; 
Frame 230, Rot 0.00168494, Dist 0.00368183; 
Frame 231, Rot 0.000384412, Dist 0.00206081; 
Frame 232, Rot 0.00151501, Dist 0.00191161; 
Frame 233, Rot 0.00141683, Dist 0.00456157; 
Frame 234, Rot 0.00180277, Dist 0.00402031; 
Frame 235, Rot 0.00189182, Dist 0.00468076; 
Frame 236, Rot 0.00213811, Dist 0.00119063; 
Frame 237, Rot 0.00320292, Dist 0.00357087; 
Frame 238, Rot 0.0229353, Dist 0.016582; 
Frame 239, Rot 0.393979, Dist 0.583649; 
Frame 240, Rot 0.124205, Dist 0.0414712; 
Frame 241, Rot 0.0695167, Dist 0.00055203; 
Frame 242, Rot 0.100149, Dist 0.000176351; 
Frame 243, Rot 0.161962, Dist 5.56257e-05; 
Frame 244, Rot 0.118074, Dist 0.000176035; 
Frame 245, Rot 1.41342, Dist 4.94713e-05; 
Frame 246, Rot 0.0175754, Dist 5.54825e-05; 
Frame 247, Rot 1.99661, Dist 0.00712299; 
Frame 248, Rot 0.331209, Dist 0.320115; 
Frame 249, Rot 0.218775, Dist 0.353958; 
Frame 250, Rot 0.00219933, Dist 0.00399809; 
Frame 251, Rot 0.0052988, Dist 0.00781408; 
Frame 252, Rot 0.00405883, Dist 0.0040308; 
Frame 253, Rot 0.00215953, Dist 0.00216943; 
Frame 254, Rot 0.00166502, Dist 0.00295104; 
Frame 255, Rot 0.00173891, Dist 0.00520479; 
