Frame 1, x 0, y 0, z 0; 
Frame 396, x 15.0546, y 1.59637, z 42.7165; 
Frame 397, x 15.0376, y 1.62981, z 42.6396; 
Frame 398, x 15.0248, y 1.66083, z 42.5639; 
Frame 399, x 15.0145, y 1.69053, z 42.4911; 
Frame 400, x 15.0056, y 1.71598, z 42.4158; 
Frame 401, x 15.0048, y 1.73419, z 42.3571; 
Frame 402, x 14.9944, y 1.74742, z 42.2724; 
Frame 403, x 14.9891, y 1.76028, z 42.2069; 
Frame 404, x 14.9961, y 1.77074, z 42.1678; 
Frame 405, x 15.0114, y 1.77501, z 42.1406; 
Frame 406, x 15.021, y 1.77615, z 42.1002; 
Frame 409, x 15.021, y 1.77615, z 42.1002; 
Frame 410, x 15.2135, y 1.44683, z 41.5605; 
Frame 411, x 15.2159, y 1.44826, z 41.5618; 
Frame 412, x 15.2296, y 1.45301, z 41.5911; 
Frame 413, x 15.2441, y 1.45958, z 41.6181; 
Frame 414, x 15.2597, y 1.46544, z 41.6357; 
Frame 415, x 15.269, y 1.46848, z 41.6269; 
Frame 416, x 15.3227, y 1.47037, z 41.727; 
Frame 417, x 15.3511, y 1.46735, z 41.7677; 
Frame 418, x 15.3536, y 1.46857, z 41.757; 
Frame 419, x 15.347, y 1.47038, z 41.7237; 
Frame 420, x 15.3409, y 1.47198, z 41.6957; 
Frame 421, x 15.3527, y 1.48026, z 41.7219; 
